school,team,city,state,region,division,coach_name,coach_email,coach_phone,athletics_director_name,athletics_director_email,athletics_director_phone,school_team_site,source_urls,notes
Flathead,,Kalispell,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Flathead High School; main school phone/email: (406)751-3500 painem@sd5.k12.mt.us
Capital,,Helena,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Billings Senior,,Billings,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Belgrade,,,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
East Helena,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Frenchtown,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Custer County,,Miles City,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Custer High School; main school phone/email: (406)856-4117 supt@custerschools.org
Laurel,,Laurel,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Laurel High School; main school phone/email: (406)628-7911 melissa_byington@laurel.k12.mt.us
Columbia Falls,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Billings Central Catholic,,Billings,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Hamilton,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Whitefish,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Fergus,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Sidney,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Bigfork,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Butte Central Catholic,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Libby,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Dawson County,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Havre,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Polson,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Lockwood,,Lockwood,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Lockwood High School; main school phone/email: (406)252-6022 pooleg@lockwoodschool.org
Hardin,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Beaverhead County,,Dillon,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Corvallis,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Browning,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Stevensville,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Park,,Livingston,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Ronan,,,MT,Montana,Class A,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-a/?statedivisionid=98c9e275-08d1-440e-920a-614a43abf61d,
Three Forks,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Jefferson,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Glasgow/Hinsdale/Nashua,,Glasgow,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Anaconda,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Manhattan,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Malta/Whitewater/Saco/Dodson,,Malta,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Lincoln County,,Eureka,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Red Lodge/Belfry/Roberts,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Joliet,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Florence-Carlton,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Columbus,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Broadwater,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Conrad,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Fairfield/Augusta,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Baker,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Huntley Project,,Worden,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66 | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Huntley Project High Schl; main school phone/email: (406)967-2540 tkaczmarek@huntley.k12.mt.us
Wolf Point/Frazer/Lustre Christian,,Wolf Point,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Shepherd,,Shepherd,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66 | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Shepherd High School; main school phone/email: (406)373-5300 kj-poepping@shepherd.k12.mt.us
Cut Bank,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Whitehall/Harrison/Willow Creek,,Whitehall,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Loyola-Sacred Heart,,Missoula,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Thompson Falls,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Shelby,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Sweet Grass County,,Big Timber,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Colstrip,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Roundup,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Powell County,,,MT,Montana,Class B,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-b/?statedivisionid=3c948089-c718-424a-95d1-30b2831e2d66,
Scobey/Opheim,,Scobey,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Fort Benton,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Seeley-Swan,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Flint Creek co-op [Drummond/Granite],,Drummond,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Belt,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Circle,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Ennis,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Sheridan,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Chinook,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Superior,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Darby,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Choteau,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Lone Peak,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Carter County,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Culbertson,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Harlowton/Ryegate,,Harlowton,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
St. Regis,,St. Regis,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Arlee,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Fairview,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Forsyth,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Box Elder,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Cascade,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
St. Ignatius,,St. Ignatius,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Park City,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Twin Bridges,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Harlem,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Plains,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Charlo,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Victor,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Plentywood,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Centerville,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Lame Deer,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
MonDak [Westby/Grenora],,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Simms,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Manhattan Christian,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Troy,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Poplar,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Rocky Boy,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Valley Christian,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Westby,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Wibaux,,,MT,Montana,Class C 8-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-8-man/?statedivisionid=c7d72539-5477-46fc-8122-b3241c0f3fb6,
Winnett,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Grass Range/Winnett,,Grass Range,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Chester-Joplin-Inverness,,Chester,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Absarokee,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Lincoln,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Lambert/Richey,,Lambert,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Denton/Stanford/Geyser/Geraldine,,Denton,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8 | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Denton High School; main school phone/email: (406)567-2270 ssparks@denton.k12.mt.us
Garfield County,,Jordan,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Power/Dutton-Brady,,Power,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Roy/Winifred,,Roy,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8 | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Winifred High School; main school phone/email: (406)462-5420 cpierson@winifred.k12.mt.us
Highwood,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
North Star,,Rudyard,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Hot Springs,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Gardiner,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Big Sandy,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Bainville,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Noxon,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Plevna,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Terry,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Shields Valley,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Savage,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
